Review,Liked,topic,topic_label
Went for lunch - service was slow.,0,5,Staff
Our server was very nice and attentive as were the other serving staff.,1,18,Staff
The cashier was friendly and even brought the food out to me.,1,7,Staff
"Service is quick and even ""to go"" orders are just like we like it!",1,5,Staff
Tonight I had the Elk Filet special...and it sucked.,0,5,Staff
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,7,Staff
"As for the service, I thought it was good.",1,5,Staff
We were sat right on time and our server from the get go was FANTASTIC!,1,18,Staff
The service was poor and thats being nice.,0,5,Staff
But the service was beyond bad.,0,5,Staff
"What did bother me, was the slow service.",0,5,Staff
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,11,Staff
And service was super friendly.,1,5,Staff
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,18,Staff
The service was terrible though.,0,5,Staff
Awful service.,0,5,Staff
The service here is fair at best.,0,5,Staff
Very poor service.,0,5,Staff
I paid the bill but did not tip because I felt the server did a terrible job.,0,7,Staff
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,7,Staff
Talk about great customer service of course we will be back.,1,5,Staff
"The service was great, even the manager came and helped with our table.",1,5,Staff
The service was extremely slow.,0,5,Staff
I want to first say our server was great and we had perfect service.,1,18,Staff
Highly unprofessional and rude to a loyal patron!,0,11,Staff
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,7,Staff
very slow at seating even with reservation.,0,5,Staff
It wasn't busy at all and now we know why.,0,5,Staff
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,11,Staff
Con: spotty service.,0,5,Staff
The real disappointment was our waiter.,0,7,Staff
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,7,Staff
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,7,Staff
"Your servers suck, wait, correction, our server Heimer sucked.",0,18,Staff
